标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
Enhanced Spontaneous and Benzo(a)pyrene-Induced Mutations in the Lung of Nrf2-Deficient gpt Delta Mice,"Y Aoki, AH Hashimoto, K Amanuma, M Matsumoto… - Cancer research, 2007 - AACR","… transgenic mice harboring guanine phosphoribosyltransferase (gpt) gene as a target gene
… +/− ::gpt and nrf2 −/− ::gpt mice. The spontaneous mutation frequency of the gpt gene in the …","Aoki, Y., Hashimoto, A. H., Amanuma, K., Matsumoto, M., Hiyoshi, K., Takano, H., ... & Yamamoto, M. (2007). Enhanced spontaneous and benzo (a) pyrene-induced mutations in the lung of Nrf2-deficient gpt delta mice. Cancer research, 67(12), 5643-5648.",85,https://www.researchgate.net/profile/Ken-Itoh/publication/6262255_Enhanced_Spontaneous_and_Benzoapyrene-Induced_Mutations_in_the_Lung_of_Nrf2-Deficient_gpt_Delta_Mice/links/00b495240c50042a22000000/Enhanced-Spontaneous-and-Benzoapyrene-Induced-Mutations-in-the-Lung-of-Nrf2-Deficient-gpt-Delta-Mice.pdf
[PDF] GPT: a tool for planning with uncertainty and partial information,"B Bonet, H Geffner - Proc. IJCAI-01 Workshop on Planning with Uncertainty …, 2001 - Citeseer","… We describe the GPT system and its utilization over a number of examples. GPT (General …
4, we show GPT’s language with an example and give an overview of its syntax. At the end, …","Bonet, B., & Geffner, H. (2001, August). GPT: a tool for planning with uncertainty and partial information. In Proc. IJCAI-01 Workshop on Planning with Uncertainty and Partial Information (pp. 82-87).",98,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b0fe9cf6f8a8926e8a723942b0e41aacab479a66
"Kaikasaponin III and Soyasaponin I, Major Triterpene Saponins of Abrus cantoniensis, act on GOT and GPT: Influence on Transaminase Elevation of Rat Liver Cells …","H Miyao, T Arao, M Udayama, J Kinjo… - Planta Medica, 1998 - thieme-connect.com","… the levels of glutamic pyruvic transaminase (GPT) and glutamic oxaloacetic transaminase
(GOT). Soyasaponin I inhibited the elevation of GOT and GPT activities. The activities were …","Miyao, H., Arao, T., Udayama, M., Kinjo, J., & Nohara, T. (1998). Kaikasaponin III and Soyasaponin I, Major Triterpene Saponins of Abrus cantoniensis, act on GOT and GPT: Influence on Transaminase Elevation of Rat Liver Cells Concomitantly Exposed to CCl4 for One Hour1. Planta Medica, 64(01), 5-7.",85,没有链接
Is GPT-3 text indistinguishable from human text? scarecrow: A framework for scrutinizing machine text,"Y Dou, M Forbes, R Koncel-Kedziorski… - arXiv preprint arXiv …, 2021 - arxiv.org","… As such, our results cover three increasing model sizes (GPT-2 Small, XL, and GPT-3 (…
For GPT-3, we also study a variety of decoding configurations (Figure 4). The main quantity we …","Dou, Y., Forbes, M., Koncel-Kedziorski, R., Smith, N. A., & Choi, Y. (2021). Is GPT-3 text indistinguishable from human text? scarecrow: A framework for scrutinizing machine text. arXiv preprint arXiv:2107.01294.",34,https://arxiv.org/pdf/2107.01294
GPT: an Excel spreadsheet for thermobarometric calculations in metapelitic rocks,"J Reche, FJ Martinez - Computers & Geosciences, 1996 - Elsevier","… In its present version, GPT mainly is oriented to pelitic or quartzo-feldspatic … of each that
are now supported by GPT. Mineral analyses easily can be imported into GPT (Fig. 1). Three …","Reche, J., & Martinez, F. J. (1996). GPT: an Excel spreadsheet for thermobarometric calculations in metapelitic rocks. Computers & Geosciences, 22(7), 775-784.",86,没有链接
[HTML] Considering the possibilities and pitfalls of Generative Pre-trained Transformer 3 (GPT-3) in healthcare delivery,"DM Korngiebel, SD Mooney - NPJ Digital Medicine, 2021 - nature.com","… GPT-3 and other technologies are getting close to passing a Turing Test, an assessment
of … recently acquired an exclusive license from OpenAI for GPT-3 5 . As with so many …","Korngiebel, D. M., & Mooney, S. D. (2021). Considering the possibilities and pitfalls of Generative Pre-trained Transformer 3 (GPT-3) in healthcare delivery. NPJ Digital Medicine, 4(1), 93.",48,https://www.nature.com/articles/s41746-021-00464-x
Molecular analysis of spontaneous mutations at the gpt locus in Chinese hamster ovary (AS52) cells,"KR Tindall, LF Stankowski Jr - Mutation Research/Reviews in Genetic …, 1989 - Elsevier","… The gpt locus in AS52 cells is extremely stable, giving rise to … gpt sequences in vitro. The
PCR product was then sequenced without further cloning manipulations to directly identify gpt …","Tindall, K. R., & Stankowski Jr, L. F. (1989). Molecular analysis of spontaneous mutations at the gpt locus in Chinese hamster ovary (AS52) cells. Mutation Research/Reviews in Genetic Toxicology, 220(2-3), 241-253.",157,没有链接
"Heavy‐ion‐induced mutations in the gpt delta transgenic mouse: Comparison of mutation spectra induced by heavy‐ion, X‐ray, and γ‐ray radiation","K Masumura, K Kuniya, T Kurobe… - Environmental and …, 2002 - Wiley Online Library","… by heavy particle radiation, gpt delta transgenic mice were … and gpt mutations, respectively.
Two days after 10 Gy of whole‐body irradiation, the mutant frequencies (MFs) of Spi ‐ and gpt …","Masumura, K. I., Kuniya, K., Kurobe, T., Fukuoka, M., Yatagai, F., & Nohmi, T. (2002). Heavy‐ion‐induced mutations in the gpt delta transgenic mouse: Comparison of mutation spectra induced by heavy‐ion, X‐ray, and γ‐ray radiation. Environmental and molecular mutagenesis, 40(3), 207-215.",81,没有链接
3D space-charge model for GPT simulations of high brightness electron bunches,"SB Van Der Geer, OJ Luiten, MJ De Loos… - Institute of Physics …, 2005 - books.google.com","For the simulation of high-brightness electron bunches, a new 3D space-charge model is
being implemented in the General Particle Tracer (GPT) code. It is based on a non-equidistant …","Van Der Geer, S. B., Luiten, O. J., De Loos, M. J., Pöplau, G., & Van Rienen, U. (2005, January). 3D space-charge model for GPT simulations of high brightness electron bunches. In Institute of Physics Conference Series (Vol. 175, p. 101).",75,https://inspirehep.net/files/8812f03d97ce7513a5baff557975cf6b#page=109
GPT-critic: Offline reinforcement learning for end-to-end task-oriented dialogue systems,"Y Jang, J Lee, KE Kim - International Conference on Learning …, 2022 - openreview.net","… introduce GPT-Critic, an offline RL method for task-oriented dialogue. GPT-Critic is built upon
GPT-… GPT-Critic is essentially free from the issue of diverging from human language since it …","Jang, Y., Lee, J., & Kim, K. E. (2022). GPT-critic: Offline reinforcement learning for end-to-end task-oriented dialogue systems. In International Conference on Learning Representations.",14,https://openreview.net/pdf?id=qaxhBG1UUaS
[PDF] Artificial intelligence as the next GPT: A political-economy perspective,"M Trajtenberg - The economics of artificial intelligence: An agenda, 2018 - nber.org","… , be it in services that directly benefit from the growth of the GPT (eg, the venture capital (VC) …
the unfolding GPT (“laggards”), and those in industries where the adoption of the new GPT …",补全,53,https://www.nber.org/system/files/chapters/c14025/c14025.pdf
