标题,学科,当前版本,作者,摘要,主题,通讯作者+历史版本
Implicit causality in GPT-2: a case study,Computer Science > Computation and Language,[Submitted on 8 Dec 2022],"Authors:Hien Huynh, Tomas O. Lentz, Emiel van Miltenburg","Abstract: This case study investigates the extent to which a language model (GPT-2) is able to capture native speakers' intuitions about implicit causality in a sentence completion task. We first reproduce earlier results (showing lower surprisal values for pronouns that are congruent with either the subject or object, depending on which one corresponds to the implicit causality bias of the verb), and then examine the effects of gender and verb frequency on model performance. Our second study examines the reasoning ability of GPT-2: is the model able to produce more sensible motivations for why the subject VERBed the object if the verbs have stronger causality biases? We also developed a methodology to avoid human raters being biased by obscenities and disfluencies generated by the model.",Computation and Language (cs.CL),"Submission history
From: Emiel van Miltenburg [view email]
[v1] Thu, 8 Dec 2022 15:42:38 UTC (6,521 KB)"
"ArguGPT: evaluating, understanding and identifying argumentative essays generated by GPT models",Computer Science > Computation and Language,[Submitted on 16 Apr 2023],"Authors:Yikang Liu, Ziyin Zhang, Wanyang Zhang, Shisen Yue, Xiaojing Zhao, Xinyuan Cheng, Yiwen Zhang, Hai Hu","Abstract: AI generated content (AIGC) presents considerable challenge to educators around the world. Instructors need to be able to detect such text generated by large language models, either with the naked eye or with the help of some tools. There is also growing need to understand the lexical, syntactic and stylistic features of AIGC. To address these challenges in English language teaching, we first present ArguGPT, a balanced corpus of 4,038 argumentative essays generated by 7 GPT models in response to essay prompts from three sources: (1) in-class or homework exercises, (2) TOEFL and (3) GRE writing tasks. Machine-generated texts are paired with roughly equal number of human-written essays with three score levels matched in essay prompts. We then hire English instructors to distinguish machine essays from human ones. Results show that when first exposed to machine-generated essays, the instructors only have an accuracy of 61% in detecting them. But the number rises to 67% after one round of minimal self-training. Next, we perform linguistic analyses of these essays, which show that machines produce sentences with more complex syntactic structures while human essays tend to be lexically more complex. Finally, we test existing AIGC detectors and build our own detectors using SVMs and RoBERTa. Results suggest that a RoBERTa fine-tuned with the training set of ArguGPT achieves above 90% accuracy in both essay- and sentence-level classification. To the best of our knowledge, this is the first comprehensive analysis of argumentative essays produced by generative large language models. Machine-authored essays in ArguGPT and our models will be made publicly available at this https URL",Computation and Language (cs.CL),"Submission history
From: Yikang Liu [view email]
[v1] Sun, 16 Apr 2023 01:50:26 UTC (1,029 KB)"
GPT is becoming a Turing machine: Here are some ways to program it,Computer Science > Computation and Language,[Submitted on 25 Mar 2023],"Authors:Ana Jojic, Zhen Wang, Nebojsa Jojic","Abstract: We demonstrate that, through appropriate prompting, GPT-3 family of models can be triggered to perform iterative behaviours necessary to execute (rather than just write or recall) programs that involve loops, including several popular algorithms found in computer science curricula or software developer interviews. We trigger execution and description of Iterations by Regimenting Self-Attention (IRSA) in one (or a combination) of three ways: 1) Using strong repetitive structure in an example of an execution path of a target program for one particular input, 2) Prompting with fragments of execution paths, and 3) Explicitly forbidding (skipping) self-attention to parts of the generated text. On a dynamic program execution, IRSA leads to larger accuracy gains than replacing the model with the much more powerful GPT-4. IRSA has promising applications in education, as the prompts and responses resemble student assignments in data structures and algorithms classes. Our findings hold implications for evaluating LLMs, which typically target the in-context learning: We show that prompts that may not even cover one full task example can trigger algorithmic behaviour, allowing solving problems previously thought of as hard for LLMs, such as logical puzzles. Consequently, prompt design plays an even more critical role in LLM performance than previously recognized.",Computation and Language (cs.CL),"Submission history
From: Zhen Wang [view email]
[v1] Sat, 25 Mar 2023 00:43:41 UTC (13,288 KB)"
Large Language Models as Master Key: Unlocking the Secrets of Materials Science with GPT,Computer Science > Computation and Language,"[Submitted on 5 Apr 2023 (v1), last revised 12 Apr 2023 (this version, v5)]","Authors:Tong Xie, Yuwei Wan, Wei Huang, Yufei Zhou, Yixuan Liu, Qingyuan Linghu, Shaozhou Wang, Chunyu Kit, Clara Grazian, Wenjie Zhang, Bram Hoex","Abstract: The amount of data has growing significance in exploring cutting-edge materials and a number of datasets have been generated either by hand or automated approaches. However, the materials science field struggles to effectively utilize the abundance of data, especially in applied disciplines where materials are evaluated based on device performance rather than their properties. This article presents a new natural language processing (NLP) task called structured information inference (SII) to address the complexities of information extraction at the device level in materials science. We accomplished this task by tuning GPT-3 on an existing perovskite solar cell FAIR (Findable, Accessible, Interoperable, Reusable) dataset with 91.8% F1-score and extended the dataset with data published since its release. The produced data is formatted and normalized, enabling its direct utilization as input in subsequent data analysis. This feature empowers materials scientists to develop models by selecting high-quality review articles within their domain. Additionally, we designed experiments to predict the electrical performance of solar cells and design materials or devices with targeted parameters using large language models (LLMs). Our results demonstrate comparable performance to traditional machine learning methods without feature selection, highlighting the potential of LLMs to acquire scientific knowledge and design new materials akin to materials scientists.",Computation and Language (cs.CL),"Submission history
From: Yuwei Wan [view email]
[v1] Wed, 5 Apr 2023 04:01:52 UTC (2,277 KB)
[v2] Thu, 6 Apr 2023 12:08:53 UTC (4,554 KB)
[v3] Mon, 10 Apr 2023 15:53:26 UTC (2,388 KB)
[v4] Tue, 11 Apr 2023 15:44:30 UTC (2,376 KB)
[v5] Wed, 12 Apr 2023 14:06:02 UTC (2,376 KB)"
Garden-Path Traversal within GPT-2,Computer Science > Computation and Language,"[Submitted on 24 May 2022 (v1), last revised 20 Oct 2022 (this version, v2)]","Authors:William Jurayj, William Rudman, Carsten Eickhoff","Abstract: In recent years, large-scale transformer decoders such as the GPT-x family of models have become increasingly popular. Studies examining the behavior of these models tend to focus only on the output of the language modeling head and avoid analysis of the internal states of the transformer decoder. In this study, we present a collection of methods to analyze the hidden states of GPT-2 and use the model's navigation of garden path sentences as a case study. To enable this, we compile the largest currently available dataset of garden path sentences. We show that Manhattan distances and cosine similarities provide more reliable insights compared to established surprisal methods that analyze next-token probabilities computed by a language modeling head. Using these methods, we find that negating tokens have minimal impacts on the model's representations for unambiguous forms of sentences with ambiguity solely over what the object of a verb is, but have a more substantial impact of representations for unambiguous sentences whose ambiguity would stem from the voice of a verb. Further, we find that analyzing the decoder model's hidden states reveals periods of ambiguity that might conclude in a garden path effect but happen not to, whereas surprisal analyses routinely miss this detail.",Computation and Language (cs.CL),"Submission history
From: William Jurayj [view email]
[v1] Tue, 24 May 2022 18:21:58 UTC (7,665 KB)
[v2] Thu, 20 Oct 2022 16:21:06 UTC (7,690 KB)"
Navigating Complexity in Software Engineering: A Prototype for Comparing GPT-n Solutions,Computer Science > Software Engineering,[Submitted on 28 Jan 2023],Authors:Christoph Treude,"Abstract: Navigating the diverse solution spaces of non-trivial software engineering tasks requires a combination of technical knowledge, problem-solving skills, and creativity. With multiple possible solutions available, each with its own set of trade-offs, it is essential for programmers to evaluate the various options and select the one that best suits the specific requirements and constraints of a project. Whether it is choosing from a range of libraries, weighing the pros and cons of different architecture and design solutions, or finding unique ways to fulfill user requirements, the ability to think creatively is crucial for making informed decisions that will result in efficient and effective software. However, the interfaces of current chatbot tools for programmers, such as OpenAI's ChatGPT or GitHub Copilot, are optimized for presenting a single solution, even for complex queries. While other solutions can be requested, they are not displayed by default and are not intuitive to access. In this paper, we present our work-in-progress prototype ""GPTCompare"", which allows programmers to visually compare multiple source code solutions generated by GPT-n models for the same programming-related query by highlighting their similarities and differences.",Software Engineering (cs.SE),"Submission history
From: Christoph Treude [view email]
[v1] Sat, 28 Jan 2023 11:47:03 UTC (244 KB)"
Action-GPT: Leveraging Large-scale Language Models for Improved and Generalized Zero Shot Action Generation,Computer Science > Computer Vision and Pattern Recognition,"[Submitted on 28 Nov 2022 (v1), last revised 7 Mar 2023 (this version, v3)]","Authors:Sai Shashank Kalakonda, Shubh Maheshwari, Ravi Kiran Sarvadevabhatla","Abstract: We introduce Action-GPT, a plug-and-play framework for incorporating Large Language Models (LLMs) into text-based action generation models. Action phrases in current motion capture datasets contain minimal and to-the-point information. By carefully crafting prompts for LLMs, we generate richer and fine-grained descriptions of the action. We show that utilizing these detailed descriptions instead of the original action phrases leads to better alignment of text and motion spaces. We introduce a generic approach compatible with stochastic (e.g. VAE-based) and deterministic (e.g. MotionCLIP) text-to-motion models. In addition, the approach enables multiple text descriptions to be utilized. Our experiments show (i) noticeable qualitative and quantitative improvement in the quality of synthesized motions, (ii) benefits of utilizing multiple LLM-generated descriptions, (iii) suitability of the prompt function, and (iv) zero-shot generation capabilities of the proposed approach. Project page: this https URL",Computer Vision and Pattern Recognition (cs.CV),"Submission history
From: Ravi Kiran Sarvadevabhatla [view email]
[v1] Mon, 28 Nov 2022 17:57:48 UTC (2,416 KB)
[v2] Wed, 30 Nov 2022 13:13:29 UTC (2,417 KB)
[v3] Tue, 7 Mar 2023 06:14:56 UTC (4,514 KB)"
GPT-4 to GPT-3.5:'Hold My Scalpel'--A Look at the Competency of OpenAI's GPT on the Plastic Surgery In-Service Training Exam,Computer Science > Artificial Intelligence,[Submitted on 4 Apr 2023],"Authors:Jonathan D. Freedman, Ian A. Nappier","Abstract: The Plastic Surgery In-Service Training Exam (PSITE) is an important indicator of resident proficiency and serves as a useful benchmark for evaluating OpenAI's GPT. Unlike many of the simulated tests or practice questions shown in the GPT-4 Technical Paper, the multiple-choice questions evaluated here are authentic PSITE questions. These questions offer realistic clinical vignettes that a plastic surgeon commonly encounters in practice and scores highly correlate with passing the written boards required to become a Board Certified Plastic Surgeon. Our evaluation shows dramatic improvement of GPT-4 (without vision) over GPT-3.5 with both the 2022 and 2021 exams respectively increasing the score from 8th to 88th percentile and 3rd to 99th percentile. The final results of the 2023 PSITE are set to be released on April 11, 2023, and this is an exciting moment to continue our research with a fresh exam. Our evaluation pipeline is ready for the moment that the exam is released so long as we have access via OpenAI to the GPT-4 API. With multimodal input, we may achieve superhuman performance on the 2023.",Artificial Intelligence (cs.AI),"Submission history
From: Jonathan Freedman [view email]
[v1] Tue, 4 Apr 2023 03:30:12 UTC (1,141 KB)"
TRScore: A Novel GPT-based Readability Scorer for ASR Segmentation and Punctuation model evaluation and selection,Computer Science > Computation and Language,[Submitted on 27 Oct 2022],"Authors:Piyush Behre, Sharman Tan, Amy Shah, Harini Kesavamoorthy, Shuangyu Chang, Fei Zuo, Chris Basoglu, Sayan Pathak","Abstract: Punctuation and Segmentation are key to readability in Automatic Speech Recognition (ASR), often evaluated using F1 scores that require high-quality human transcripts and do not reflect readability well. Human evaluation is expensive, time-consuming, and suffers from large inter-observer variability, especially in conversational speech devoid of strict grammatical structures. Large pre-trained models capture a notion of grammatical structure. We present TRScore, a novel readability measure using the GPT model to evaluate different segmentation and punctuation systems. We validate our approach with human experts. Additionally, our approach enables quantitative assessment of text post-processing techniques such as capitalization, inverse text normalization (ITN), and disfluency on overall readability, which traditional word error rate (WER) and slot error rate (SER) metrics fail to capture. TRScore is strongly correlated to traditional F1 and human readability scores, with Pearson's correlation coefficients of 0.67 and 0.98, respectively. It also eliminates the need for human transcriptions for model selection.",Computation and Language (cs.CL),"Submission history
From: Piyush Behre [view email]
[v1] Thu, 27 Oct 2022 01:11:32 UTC (20 KB)"
Geotechnical Parrot Tales (GPT): Overcoming GPT hallucinations with prompt engineering for geotechnical applications,Computer Science > Computation and Language,"[Submitted on 4 Apr 2023 (v1), last revised 14 Apr 2023 (this version, v2)]",Authors:Krishna Kumar,"Abstract: The widespread adoption of large language models (LLMs), such as OpenAI's ChatGPT, could revolutionize various industries, including geotechnical engineering. However, GPT models can sometimes generate plausible-sounding but false outputs, leading to hallucinations. In this article, we discuss the importance of prompt engineering in mitigating these risks and harnessing the full potential of GPT for geotechnical applications. We explore the challenges and pitfalls associated with LLMs and highlight the role of context in ensuring accurate and valuable responses. Furthermore, we examine the development of context-specific search engines and the potential of LLMs to become a natural interface for complex tasks, such as data analysis and design. We also develop a unified interface using natural language to handle complex geotechnical engineering tasks and data analysis. By integrating GPT into geotechnical engineering workflows, professionals can streamline their work and develop sustainable and resilient infrastructure systems for the future.",Computation and Language (cs.CL),"Submission history
From: Krishna Kumar [view email]
[v1] Tue, 4 Apr 2023 21:47:41 UTC (677 KB)
[v2] Fri, 14 Apr 2023 01:09:41 UTC (943 KB)"
Blind Judgement: Agent-Based Supreme Court Modelling With GPT,Computer Science > Computation and Language,[Submitted on 12 Jan 2023],Authors:Sil Hamilton,Abstract: We present a novel Transformer-based multi-agent system for simulating the judicial rulings of the 2010-2016 Supreme Court of the United States. We train nine separate models with the respective authored opinions of each supreme justice active ca. 2015 and test the resulting system on 96 real-world cases. We find our system predicts the decisions of the real-world Supreme Court with better-than-random accuracy. We further find a correlation between model accuracy with respect to individual justices and their alignment between legal conservatism & liberalism. Our methods and results hold significance for researchers interested in using language models to simulate politically-charged discourse between multiple agents.,Computation and Language (cs.CL),"Submission history
From: Sil Hamilton [view email]
[v1] Thu, 12 Jan 2023 23:07:55 UTC (47 KB)"
Ten Quick Tips for Harnessing the Power of ChatGPT/GPT-4 in Computational Biology,Quantitative Biology > Other Quantitative Biology,[Submitted on 29 Mar 2023],"Authors:Tiago Lubiana, Rafael Lopes, Pedro Medeiros, Juan Carlo Silva, Andre Nicolau Aquime Goncalves, Vinicius Maracaja-Coutinho, Helder I Nakaya","Abstract: The rise of advanced chatbots, such as ChatGPT, has sparked curiosity in the scientific community. ChatGPT is a general-purpose chatbot powered by large language models (LLMs) GPT-3.5 and GPT-4, with the potential to impact numerous fields, including computational biology. In this article, we offer ten tips based on our experience with ChatGPT to assist computational biologists in optimizing their workflows. We have collected relevant prompts and reviewed the nascent literature in the field, compiling tips we project to remain pertinent for future ChatGPT and LLM iterations, ranging from code refactoring to scientific writing to prompt engineering. We hope our work will help bioinformaticians to complement their workflows while staying aware of the various implications of using this technology. Additionally, to track new and creative applications for bioinformatics tools such as ChatGPT, we have established a GitHub repository at this https URL. Our belief is that ethical adherence to ChatGPT and other LLMs will increase the efficiency of computational biologists, ultimately advancing the pace of scientific discovery in the life sciences.",Other Quantitative Biology (q-bio.OT),"Submission history
From: Tiago Lubiana [view email]
[v1] Wed, 29 Mar 2023 03:24:42 UTC (455 KB)"
Targeted Attack on GPT-Neo for the SATML Language Model Data Extraction Challenge,Computer Science > Computation and Language,[Submitted on 13 Feb 2023],"Authors:Ali Al-Kaswan, Maliheh Izadi, Arie van Deursen","Abstract: Previous work has shown that Large Language Models are susceptible to so-called data extraction attacks. This allows an attacker to extract a sample that was contained in the training data, which has massive privacy implications. The construction of data extraction attacks is challenging, current attacks are quite inefficient, and there exists a significant gap in the extraction capabilities of untargeted attacks and memorization. Thus, targeted attacks are proposed, which identify if a given sample from the training data, is extractable from a model. In this work, we apply a targeted data extraction attack to the SATML2023 Language Model Training Data Extraction Challenge. We apply a two-step approach. In the first step, we maximise the recall of the model and are able to extract the suffix for 69% of the samples. In the second step, we use a classifier-based Membership Inference Attack on the generations. Our AutoSklearn classifier achieves a precision of 0.841. The full approach reaches a score of 0.405 recall at a 10% false positive rate, which is an improvement of 34% over the baseline of 0.301.",Computation and Language (cs.CL),"Submission history
From: Ali Al-Kaswan [view email]
[v1] Mon, 13 Feb 2023 18:00:44 UTC (95 KB)"
A Disability Lens towards Biases in GPT-3 Generated Open-Ended Languages,Computer Science > Computation and Language,[Submitted on 23 Jun 2022],"Authors:Akhter Al Amin, Kazi Sinthia Kabir","Abstract: Language models (LM) are becoming prevalent in many language-based application spaces globally. Although these LMs are improving our day-to-day interactions with digital products, concerns remain whether open-ended languages or text generated from these models reveal any biases toward a specific group of people, thereby risking the usability of a certain product. There is a need to identify whether these models possess bias to improve the fairness in these models. This gap motivates our ongoing work, where we measured the two aspects of bias in GPT-3 generated text through a disability lens.",Computation and Language (cs.CL),"Submission history
From: Akhter Al Amin [view email]
[v1] Thu, 23 Jun 2022 21:57:08 UTC (382 KB)"
A Disability Lens towards Biases in GPT-3 Generated Open-Ended Languages,Computer Science > Computation and Language,[Submitted on 23 Jun 2022],"Authors:Akhter Al Amin, Kazi Sinthia Kabir","Abstract: Language models (LM) are becoming prevalent in many language-based application spaces globally. Although these LMs are improving our day-to-day interactions with digital products, concerns remain whether open-ended languages or text generated from these models reveal any biases toward a specific group of people, thereby risking the usability of a certain product. There is a need to identify whether these models possess bias to improve the fairness in these models. This gap motivates our ongoing work, where we measured the two aspects of bias in GPT-3 generated text through a disability lens.",Computation and Language (cs.CL),"Submission history
From: Akhter Al Amin [view email]
[v1] Thu, 23 Jun 2022 21:57:08 UTC (382 KB)"
Hierarchical GPT with Congruent Transformers for Multi-Sentence Language Models,Computer Science > Computation and Language,[Submitted on 18 Sep 2020],"Authors:Jihyeon Roh, Huiseong Gim, Soo-Young Lee","Abstract: We report a GPT-based multi-sentence language model for dialogue generation and document understanding. First, we propose a hierarchical GPT which consists of three blocks, i.e., a sentence encoding block, a sentence generating block, and a sentence decoding block. The sentence encoding and decoding blocks are basically the encoder-decoder blocks of the standard Transformers, which work on each sentence independently. The sentence generating block is inserted between the encoding and decoding blocks, and generates the next sentence embedding vector from the previous sentence embedding vectors. We believe it is the way human make conversation and understand paragraphs and documents. Since each sentence may consist of fewer words, the sentence encoding and decoding Transformers can use much smaller dimensional embedding vectors. Secondly, we note the attention in the Transformers utilizes the inner-product similarity measure. Therefore, to compare the two vectors in the same space, we set the transform matrices for queries and keys to be the same. Otherwise, the similarity concept is incongruent. We report experimental results to show that these two modifications increase the language model performance for tasks with multiple sentences.",Computation and Language (cs.CL),"Submission history
From: Jihyeon Roh [view email]
[v1] Fri, 18 Sep 2020 05:55:37 UTC (477 KB)"
Few-shot generative conversational query rewriting,Computer Science > Information Retrieval,[Submitted on 9 Jun 2020],"Authors:Shi Yu, Jiahua Liu, Jingqin Yang, Chenyan Xiong, Paul Bennett, Jianfeng Gao, Zhiyuan Liu","Abstract: Conversational query rewriting aims to reformulate a concise conversational query to a fully specified, context-independent query that can be effectively handled by existing information retrieval systems. This paper presents a few-shot generative approach to conversational query rewriting. We develop two methods, based on rules and self-supervised learning, to generate weak supervision data using large amounts of ad hoc search sessions, and to fine-tune GPT-2 to rewrite conversational queries. On the TREC Conversational Assistance Track, our weakly supervised GPT-2 rewriter improves the state-of-the-art ranking accuracy by 12%, only using very limited amounts of manual query rewrites. In the zero-shot learning setting, the rewriter still gives a comparable result to previous state-of-the-art systems. Our analyses reveal that GPT-2 effectively picks up the task syntax and learns to capture context dependencies, even for hard cases that involve group references and long-turn dependencies.",Information Retrieval (cs.IR),"Submission history
From: Jiahua Liu [view email]
[v1] Tue, 9 Jun 2020 01:47:58 UTC (311 KB)"
Improving the Diproche CNL through autoformalization via GPT-3,Computer Science > Computation and Language,[Submitted on 12 Mar 2023],Authors:Merlin Carl,"Abstract: The Diproche system is an automated proof checker for texts written in a controlled fragment of German, designed for didactical applications in classes introducing students to proofs for the first time. The first version of the system used a controlled natural language for which a Prolog formalization routine was written. In this paper, we explore the possibility of prompting large language models for autoformalization in the context of Diproche, with encouraging first results.",Computation and Language (cs.CL),"Submission history
From: Merlin Carl [view email]
[v1] Sun, 12 Mar 2023 20:11:25 UTC (15 KB)"
Lora: Low-rank adaptation of large language models,Computer Science > Computation and Language,"[Submitted on 17 Jun 2021 (v1), last revised 16 Oct 2021 (this version, v2)]","Authors:Edward J. Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen-Zhu, Yuanzhi Li, Shean Wang, Lu Wang, Weizhu Chen","Abstract: An important paradigm of natural language processing consists of large-scale pre-training on general domain data and adaptation to particular tasks or domains. As we pre-train larger models, full fine-tuning, which retrains all model parameters, becomes less feasible. Using GPT-3 175B as an example -- deploying independent instances of fine-tuned models, each with 175B parameters, is prohibitively expensive. We propose Low-Rank Adaptation, or LoRA, which freezes the pre-trained model weights and injects trainable rank decomposition matrices into each layer of the Transformer architecture, greatly reducing the number of trainable parameters for downstream tasks. Compared to GPT-3 175B fine-tuned with Adam, LoRA can reduce the number of trainable parameters by 10,000 times and the GPU memory requirement by 3 times. LoRA performs on-par or better than fine-tuning in model quality on RoBERTa, DeBERTa, GPT-2, and GPT-3, despite having fewer trainable parameters, a higher training throughput, and, unlike adapters, no additional inference latency. We also provide an empirical investigation into rank-deficiency in language model adaptation, which sheds light on the efficacy of LoRA. We release a package that facilitates the integration of LoRA with PyTorch models and provide our implementations and model checkpoints for RoBERTa, DeBERTa, and GPT-2 at this https URL.",Computation and Language (cs.CL),"Submission history
From: Edward J. Hu [view email]
[v1] Thu, 17 Jun 2021 17:37:18 UTC (1,791 KB)
[v2] Sat, 16 Oct 2021 18:40:34 UTC (896 KB)"
Visualizing attention in transformer-based language representation models,Computer Science > Human-Computer Interaction,"[Submitted on 4 Apr 2019 (v1), last revised 11 Apr 2019 (this version, v2)]",Authors:Jesse Vig,"Abstract: We present an open-source tool for visualizing multi-head self-attention in Transformer-based language representation models. The tool extends earlier work by visualizing attention at three levels of granularity: the attention-head level, the model level, and the neuron level. We describe how each of these views can help to interpret the model, and we demonstrate the tool on the BERT model and the OpenAI GPT-2 model. We also present three use cases for analyzing GPT-2: detecting model bias, identifying recurring patterns, and linking neurons to model behavior.",Human-Computer Interaction (cs.HC),"Submission history
From: Jesse Vig [view email]
[v1] Thu, 4 Apr 2019 17:32:49 UTC (7,552 KB)
[v2] Thu, 11 Apr 2019 16:00:53 UTC (4,612 KB)"
Persistent anti-muslim bias in large language models,Computer Science > Computation and Language,"[Submitted on 14 Jan 2021 (v1), last revised 18 Jan 2021 (this version, v2)]","Authors:Abubakar Abid, Maheen Farooqi, James Zou","Abstract: It has been observed that large-scale language models capture undesirable societal biases, e.g. relating to race and gender; yet religious bias has been relatively unexplored. We demonstrate that GPT-3, a state-of-the-art contextual language model, captures persistent Muslim-violence bias. We probe GPT-3 in various ways, including prompt completion, analogical reasoning, and story generation, to understand this anti-Muslim bias, demonstrating that it appears consistently and creatively in different uses of the model and that it is severe even compared to biases about other religious groups. For instance, ""Muslim"" is analogized to ""terrorist"" in 23% of test cases, while ""Jewish"" is mapped to ""money"" in 5% of test cases. We quantify the positive distraction needed to overcome this bias with adversarial text prompts, and find that use of the most positive 6 adjectives reduces violent completions for ""Muslims"" from 66% to 20%, but which is still higher than for other religious groups.",Computation and Language (cs.CL),"Submission history
From: Abubakar Abid [view email]
[v1] Thu, 14 Jan 2021 18:41:55 UTC (2,799 KB)
[v2] Mon, 18 Jan 2021 17:02:28 UTC (4,784 KB)"
"GPT Conjecture: Understanding the Trade-offs between Granularity, Performance and Timeliness in Control-Flow Integrity",Computer Science > Cryptography and Security,"[Submitted on 18 Nov 2019 (v1), last revised 10 Jan 2021 (this version, v3)]","Authors:Zhilong Wang, Peng Liu","Abstract: Performance/security trade-off is widely noticed in CFI research, however, we observe that not every CFI scheme is subject to the trade-off. Motivated by the key observation, we ask three questions. Although the three questions probably cannot be directly answered, they are inspiring. We find that a deeper understanding of the nature of the trade-off will help answer the three questions. Accordingly, we proposed the GPT conjecture to pinpoint the trade-off in designing CFI schemes, which says that at most two out of three properties (fine granularity, acceptable performance, and preventive protection) could be achieved.",Cryptography and Security (cs.CR),"Submission history
From: Zhilong Wang [view email]
[v1] Mon, 18 Nov 2019 18:45:16 UTC (224 KB)
[v2] Mon, 25 Nov 2019 22:27:38 UTC (92 KB)
[v3] Sun, 10 Jan 2021 05:08:56 UTC (92 KB)"
Theory of mind may have spontaneously emerged in large language models,Computer Science > Computation and Language,"[Submitted on 4 Feb 2023 (v1), last revised 14 Mar 2023 (this version, v3)]",Authors:Michal Kosinski,"Abstract: Theory of mind (ToM), or the ability to impute unobservable mental states to others, is central to human social interactions, communication, empathy, self-consciousness, and morality. We tested several language models using 40 classic false-belief tasks widely used to test ToM in humans. The models published before 2020 showed virtually no ability to solve ToM tasks. Yet, the first version of GPT-3 (""davinci-001""), published in May 2020, solved about 40% of false-belief tasks-performance comparable with 3.5-year-old children. Its second version (""davinci-002""; January 2022) solved 70% of false-belief tasks, performance comparable with six-year-olds. Its most recent version, GPT-3.5 (""davinci-003""; November 2022), solved 90% of false-belief tasks, at the level of seven-year-olds. GPT-4 published in March 2023 solved nearly all the tasks (95%). These findings suggest that ToM-like ability (thus far considered to be uniquely human) may have spontaneously emerged as a byproduct of language models' improving language skills.",Computation and Language (cs.CL),"Submission history
From: Michal Kosinski [view email]
[v1] Sat, 4 Feb 2023 03:50:01 UTC (539 KB)
[v2] Fri, 10 Feb 2023 19:01:49 UTC (538 KB)
[v3] Tue, 14 Mar 2023 18:49:26 UTC (604 KB)"
A multiscale visualization of attention in the transformer model,Computer Science > Human-Computer Interaction,[Submitted on 12 Jun 2019],Authors:Jesse Vig,"Abstract: The Transformer is a sequence model that forgoes traditional recurrent architectures in favor of a fully attention-based approach. Besides improving performance, an advantage of using attention is that it can also help to interpret a model by showing how the model assigns weight to different input elements. However, the multi-layer, multi-head attention mechanism in the Transformer model can be difficult to decipher. To make the model more accessible, we introduce an open-source tool that visualizes attention at multiple scales, each of which provides a unique perspective on the attention mechanism. We demonstrate the tool on BERT and OpenAI GPT-2 and present three example use cases: detecting model bias, locating relevant attention heads, and linking neurons to model behavior.",Human-Computer Interaction (cs.HC),"Submission history
From: Jesse Vig [view email]
[v1] Wed, 12 Jun 2019 15:45:26 UTC (1,350 KB)"
